"Year","Block","Plot","FunctionalDiversity","GrassType","Species","PAV_Infection","fg_richness"
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Panicum miliaceum",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,7,"GL","C4","Setaria italica",0,2
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Lolium multiflorum",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",1,8,"G","C3","Secale cereale",0,1
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Lolium multiflorum",0,2
"2021",2,9,"GL","C3","Secale cereale",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Echinochloa crusgalli",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Panicum miliaceum",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,10,"GL","C4","Setaria italica",0,2
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Lolium multiflorum",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,11,"GLF","C3","Secale cereale",0,3
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Echinochloa crusgalli",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Panicum miliaceum",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,12,"G","C4","Setaria italica",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Lolium multiflorum",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,13,"G","C3","Secale cereale",0,1
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Lolium multiflorum",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,14,"GF","C3","Secale cereale",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Echinochloa crusgalli",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Panicum miliaceum",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,15,"GF","C4","Setaria italica",0,2
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Echinochloa crusgalli",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Panicum miliaceum",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",2,16,"GLF","C4","Setaria italica",0,3
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Echinochloa crusgalli",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Panicum miliaceum",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,17,"G","C4","Setaria italica",0,1
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Echinochloa crusgalli",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Panicum miliaceum",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,18,"GL","C4","Setaria italica",0,2
"2021",3,19,"GL","C3","Lolium multiflorum",0,2
"2021",3,19,"GL","C3","Lolium multiflorum",0,2
"2021",3,19,"GL","C3","Lolium multiflorum",0,2
"2021",3,19,"GL","C3","Lolium multiflorum",0,2
"2021",3,19,"GL","C3","Lolium multiflorum",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,19,"GL","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Lolium multiflorum",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,20,"GF","C3","Secale cereale",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Echinochloa crusgalli",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Panicum miliaceum",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,21,"GF","C4","Setaria italica",0,2
"2021",3,22,"GLF","C3","Lolium multiflorum",0,3
"2021",3,22,"GLF","C3","Lolium multiflorum",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,22,"GLF","C3","Secale cereale",0,3
"2021",3,23,"G","C3","Lolium multiflorum",0,1
"2021",3,23,"G","C3","Lolium multiflorum",0,1
"2021",3,23,"G","C3","Lolium multiflorum",0,1
"2021",3,23,"G","C3","Lolium multiflorum",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,23,"G","C3","Secale cereale",0,1
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Echinochloa crusgalli",0,3
"2021",3,24,"GLF","C4","Panicum miliaceum",0,3
"2021",3,24,"GLF","C4","Panicum miliaceum",0,3
"2021",3,24,"GLF","C4","Panicum miliaceum",0,3
